voivodeship,county,multiple_infections,gender_male,age_group_0-18,age_group_19-24,age_group_25-34,age_group_35-44,age_group_45-54,age_group_55-64,age_group_65-74,age_group_75-84,age_group_85-94,age_group_95+,AstraZeneca,Johnson&Johnson,Moderna,Pfizer,dose_booster,dose_full,dose_single,dose_unvaccinated,number_of_reported_cases
2,201,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,2
2,201,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1
2,201,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
2,201,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,201,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2,201,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2,201,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,201,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,2
2,201,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2,201,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
2,201,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,1
2,201,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,1
2,201,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,1
2,201,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,201,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,1
2,201,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2,201,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
2,202,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
2,202,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2
2,202,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,3
2,202,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
2,202,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,1
2,202,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
2,202,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2,202,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
2,202,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,1
2,202,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
